,Unnamed: 0,domain,id,id_str,party,screen_name,state
11287,11287,1.0,1629838772,1629838772,BJP,KaushalDaveDk,Gujarat
6762,6762,1.0,3767840414,3767840414,BJP,ssschauhan13,Uttar Pradesh
17662,17662,1.0,1970171502,1970171502,BJP,saikumarakula2,Maharashtra
18379,18379,,924987338110808064,924987338110808064,BJP,Meetrajsinhbjym,To Be Added
15737,15737,1.0,868840407827927040,868840407827927040,BJP,maharaj_anshul,Madhya Pradesh
7188,7188,1.0,2569992123,2569992123,BJP,NishankGarg4,Uttar Pradesh
12182,12182,1.0,824649505974996992,824649505974996992,BJP,NiteshKhare7,Gujarat
13528,13528,1.0,992072353218613248,992072353218613248,BJP,TalibSh46426810,Jammu and Kashmir
13208,13208,1.0,701639596396818433,701639596396818432,BJP,Ashishsharma_29,Himachal Pradesh
6975,6975,1.0,593473758,593473758,BJP,ashishmauarya,Uttar Pradesh
5903,5903,1.0,944097717692723200,944097717692723200,BJP,ChummanSahu17,Chhattisgarh
6280,6280,1.0,938286350142529537,938286350142529536,BJP,ChampaDeviPawle,Chhattisgarh
11878,11878,1.0,4474571173,4474571173,BJP,NIRAVDAVE9126,Gujarat
19879,19879,,2316603348,2316603348,BJP,SWAP7PATEL,To Be Added
31093,31093,,1046027130491088906,1046027130491088896,BJP,munenakoppa_mla,To Be Added
6957,6957,1.0,2357886218,2357886218,BJP,ashokkrgoyalbjp,Uttar Pradesh
23417,23417,,939100219639074816,939100219639074816,BJP,TrishalaSH91,To Be Added
29405,29405,,1537188984,1537188984,BJP,OdishaStateBJP,To Be Added
3259,3259,1.0,1259456795711401987,1259456795711401984,BJP,RamgopalSuthar,Rajasthan
23605,23605,,775702069781159936,775702069781159936,BJP,NileshPatel8488,To Be Added
15314,15314,1.0,759660774071558144,759660774071558144,BJP,Karan4BJP,Madhya Pradesh
15610,15610,1.0,175663999,175663999,BJP,brijesh_upadhya,Madhya Pradesh
12296,12296,1.0,982971385852121088,982971385852121088,BJP,GajendraLabana3,Gujarat
3145,3145,1.0,303990125,303990125,BJP,dparam4BJP,Rajasthan
20962,20962,,945385010495873025,945385010495873024,BJP,DrNishaSaxena,To Be Added
11149,11149,1.0,395319498,395319498,BJP,ChintanMehtaCM,Gujarat
15715,15715,1.0,1076456768350281728,1076456768350281728,BJP,LalawatRocky,Madhya Pradesh
13175,13175,1.0,2663468724,2663468724,BJP,abvphp,Himachal Pradesh
9530,9530,1.0,729256273149976576,729256273149976576,BJP,durgeshabvpjnu,Delhi
5858,5858,1.0,962574864526729216,962574864526729216,BJP,abvp4bilaspur,Chhattisgarh
12664,12664,1.0,4750092015,4750092015,BJP,Meenaparmar1977,Haryana
9161,9161,1.0,762611668681568257,762611668681568256,BJP,DrSubhashMoS,Delhi
32140,32140,,847839610914848769,847839610914848768,BJP,bhavin_bjp,To Be Added
11872,11872,1.0,740183851415273472,740183851415273472,BJP,AjayPatel0105,Gujarat
8107,8107,1.0,811083591593639937,811083591593639936,BJP,i_dineshchauhan,Uttarakhand
32268,32268,,1066302270558486533,1066302270558486528,BJP,assam_bjp,To Be Added
27475,27475,,760369057359097856,760369057359097856,BJP,thakurarunbjp,To Be Added
25213,25213,,828925316668198912,828925316668198912,BJP,SatishKumarKou1,To Be Added
17582,17582,1.0,366189960,366189960,BJP,mukeshmishra207,Maharashtra
15365,15365,1.0,4758531612,4758531612,BJP,Murlidhar_Bjp,Madhya Pradesh
2307,2307,1.0,1001478435083030528,1001478435083030528,BJP,RoulSanjeeb,Odisha
19974,19974,,1004326299400224769,1004326299400224768,BJP,Krishna25724422,To Be Added
11689,11689,1.0,4014327259,4014327259,BJP,Smit_B_Patel,Gujarat
